P;500;8;6.59933
P;500;10;7.54702
P;500;12;8.95377
P;500;14;10.2611
P;500;16;10.3811
P;500;18;13.2965
P;500;20;15.8127
P;500;22;18.9034
P;500;24;21.892
P;500;26;25.1319
P;500;28;26.5428
P;500;30;28.1016
P;500;32;30.9101
P;500;34;32.521
P;500;36;30.8452
P;500;38;31.8791
P;500;40;36.6344
S;6000;1;1326.11
P;6000;2;902.179
P;6000;4;461.174
P;6000;6;327.468
P;6000;8;254.815
P;6000;10;212.008
P;6000;12;177.754
P;6000;14;154.604
P;6000;16;136.298
P;6000;18;121.084
P;6000;20;115.945
P;6000;22;176.984
P;6000;24;164.757
P;6000;26;156.254
P;6000;28;146.398
P;6000;30;137.978
P;6000;32;130.579
P;6000;34;121.285
P;6000;36;118.729
P;6000;38;112.588
P;6000;40;110.686
S;600;1;14.2076
P;600;2;10.0014
P;600;4;10.1638
P;600;6;11.3392
P;600;8;13.2401
P;600;10;16.8951
P;600;12;18.346
P;600;14;20.6288
P;600;16;23.8272
P;600;18;23.5174
P;600;20;25.2658
P;600;22;27.4464
P;600;24;30.3113
P;600;26;34.0078
P;600;28;34.6352
P;600;30;36.9261
P;600;32;41.9585
P;600;34;41.443
P;600;36;41.8106
P;600;38;42.8829
P;600;40;45.7165
S;7000;1;1803.47
P;7000;2;1226.37
P;7000;4;633.787
P;7000;6;443.996
P;7000;8;345.963
P;7000;10;285.828
P;7000;12;240.317
P;7000;14;206.388
P;7000;16;181.556
P;7000;18;161.144
P;7000;20;175.969
P;7000;22;237.358
P;7000;24;221.552
P;7000;26;209.03
P;7000;28;196.106
P;7000;30;185.029
P;7000;32;173.381
P;7000;34;162.917
P;7000;36;155.681
P;7000;38;148.857
P;7000;40;145.531
S;700;1;19.0012
P;700;2;13.6977
P;700;4;14.422
P;700;6;16.3586
P;700;8;19.9043
P;700;10;23.2738
P;700;12;25.7858
P;700;14;29.2742
P;700;16;32.1842
P;700;18;33.6548
P;700;20;34.7352
P;700;22;35.0296
P;700;24;34.6373
P;700;26;35.5247
P;700;28;38.5139
P;700;30;38.5278
P;700;32;41.4491
P;700;34;44.3926
P;700;36;45.5444
P;700;38;45.2696
P;700;40;49.8941
S;8000;1;2356.74
P;8000;2;1603.5
P;8000;4;829.147
P;8000;6;577.08
P;8000;8;449.832
P;8000;10;371.519
P;8000;12;310.311
P;8000;14;267.522
P;8000;16;236.534
P;8000;18;211.575
P;8000;20;199.061
P;8000;22;309.699
P;8000;24;289.454
P;8000;26;273.791
P;8000;28;259.512
P;8000;30;246.23
P;8000;32;232.391
P;8000;34;220.389
P;8000;36;206.818
P;8000;38;198.951
P;8000;40;195.029
S;800;1;24.4864
P;800;2;18.0175
P;800;4;17.8017
P;800;6;17.5314
P;800;8;19.89
P;800;10;21.5812
P;800;12;23.8557
P;800;14;26.2677
P;800;16;30.025
P;800;18;30.9728
P;800;20;32.7001
P;800;22;33.4428
P;800;24;35.6853
P;800;26;37.847
P;800;28;40.6351
P;800;30;43.61
P;800;32;47.2976
P;800;34;45.3894
P;800;36;47.1312
P;800;38;49.2372
P;800;40;56.4559
S;9000;1;2983.64
P;9000;2;2027.44
P;9000;4;1045.68
P;9000;6;731.531
P;9000;8;566.693
P;9000;10;467.753
P;9000;12;390.688
P;9000;14;335.337
P;9000;16;294.366
P;9000;18;262.679
P;9000;20;246.334
P;9000;22;386.824
P;9000;24;361.291
P;9000;26;340.04
P;9000;28;320.255
P;9000;30;301.461
P;9000;32;283.283
P;9000;34;266.828
P;9000;36;252.795
P;9000;38;240.387
P;9000;40;234.124
S;900;1;30.726
P;900;2;22.2628
P;900;4;18.6394
P;900;6;18.1509
P;900;8;19.0973
P;900;10;20.531
P;900;12;21.4838
P;900;14;23.2398
P;900;16;25.0158
P;900;18;26.6013
P;900;20;27.3493
P;900;22;27.1586
P;900;24;27.6895
P;900;26;30.5422
P;900;28;34.7535
P;900;30;36.323
P;900;32;39.8843
P;900;34;40.4324
P;900;36;42.5283
P;900;38;44.8203
P;900;40;52.2041
